Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
WASP-172,F1 V,6900,1.91,1.49,0.934,4.05,1.79
WASP-173 A,G3,5800,1.11,1.05,0.083,4.37,6.78
WASP-174,F6 V,6399,1.35,1.24,0.436,4.27,2.2
WASP-175,F7,6229,1.2,1.21,0.789,4.36,1.745
WASP-176,F9,5941,1.93,1.34,0.617,4,4.81
WASP-177,K2,5017,0.89,0.88,-0.412,4.49,9.7
WASP-178,A1 IV-V,9360,1.67,2.07,1.215,4.31,0.43
WASP-180 A,F7 V,6600,1.19,1.3,0.315,4.42,1.2
WASP-181,G2,5839,0.97,1.04,0.049,4.49,2.5
WASP-182,G5,5638,1.34,1.08,0.155,4.22,5.952
WASP-183,G9,5313,0.87,0.78,-0.209,4.45,14.9
WASP-184,G0 V,6000,1.65,1.23,0.501,4.09,4.7
WASP-185,G0 V,5900,1.5,1.12,0.412,4.13,6.6
WASP-186,F,6361,1.47,1.22,0.5,4.19,3.1
WASP-187,F,6150,2.83,1.54,0.967,3.72,2.55
WASP-189,,8000,2.36,2.03,1.262,3.9,0.73
WASP-19,G8 V,5616,1.01,0.97,-0.043,4.42,6.4
WASP-190,F6 IV-V,6400,1.6,1.35,0.691,4.17,
WASP-192,G0 V,5910,1.32,1.09,0.282,4.24,5.7
WASP-2,K1,5180,0.87,0.9,-0.313,4.51,8.2
WASP-20,F9,5940,1.39,1.2,0.338,4.23,7
WASP-21,G3 V,5800,1.06,1.01,0.304,4.28,12
WASP-22,G1 V,6000,1.24,1.46,0.245,4.5,3
WASP-23,,5150,0.77,0.78,-0.377,4.56,6.2
WASP-24,,6075,1.42,1.43,0.331,4.26,3.8
WASP-25,,5750,0.8,0.67,-0.143,4.5,0.02
WASP-26,G0,6034,1.22,0.86,0.287,4.44,6
WASP-28,F8,6084,1.08,0.99,0.15,4.37,5.5
