Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-423,G4 V,5560,0.95,0.85,-0.018,4.41,11
Kepler-425,K1 V,5170,0.86,0.93,-0.323,4.54,5
Kepler-426,G1 V,5725,0.92,0.91,-0.089,4.47,6
Kepler-427,G2 V,5800,1.35,0.96,0.29,4.14,7
Kepler-428,K1 V,5150,0.8,0.87,-0.39,4.57,5
Kepler-43,F8 V,6041,1.42,1.32,0.326,4.26,0.69
Kepler-433,,6360,2.26,1.46,0.88,3.89,2.67
Kepler-434,,5977,1.38,1.2,0.33,4.24,4
Kepler-435,,6161,3.21,1.54,1.129,3.61,2.25
Kepler-437,,4551,0.68,0.71,-0.762,4.63,2.9
Kepler-438,,3748,0.52,0.54,-1.357,4.74,4.4
Kepler-439,,5431,0.87,0.88,-0.236,4.51,7.2
Kepler-44,G2 IV,5800,1.35,1.12,0.347,4.22,5.8
Kepler-440,,4134,0.56,0.57,-1.102,4.71,1.3
Kepler-441,,4340,0.55,0.57,-1.051,4.71,1.9
Kepler-442,,4402,0.6,0.61,-0.932,4.67,2.9
Kepler-443,,4723,0.71,0.74,-0.664,4.61,3.2
Kepler-447,G8 V,5493,1.05,1,-0.19,4.4,2.69
Kepler-45,M,3820,0.55,0.59,-1.276,4.7,0.5
Kepler-452,G2,5757,1.11,1.04,0.084,4.32,6
Kepler-453,,5527,0.83,0.94,-0.221,4.57,2.49
Kepler-461,,5634,0.91,0.98,0.246,4.51,2.51
Kepler-463,,5661,0.9,0.87,0.079,4.47,7.41
Kepler-464,,5933,1.59,1.21,0.484,4.11,4.9
Kepler-465,,6310,1.29,1.23,0.338,4.31,2.19
Kepler-467,,5809,1.37,1.05,0.323,4.18,8.13
Kepler-468,,5498,0.87,0.96,-0.286,4.54,2
Kepler-470,,6613,1.66,1.4,0.602,4.14,1.86
Kepler-471,,6733,1.8,1.49,0.71,4.1,1.58
Kepler-472,,4996,0.78,0.85,-0.513,4.59,2.69
Kepler-473,,5816,1.34,1.06,0.525,4.21,6.92
Kepler-474,,5785,1.08,0.99,0.417,4.36,6.76
Kepler-475,,5009,0.79,0.86,-0.464,4.58,2.69
Kepler-476,,5837,1.09,1.03,0.095,4.38,5.37
Kepler-477,,5240,0.79,0.87,-0.372,4.58,2.09
Kepler-478,,5210,0.8,0.85,-0.371,4.56,4.9
Kepler-479,,5247,0.81,0.86,-0.409,4.56,4.27
Kepler-480,,6322,1.34,1.25,0.478,4.28,2.34
Kepler-481,,5802,1.09,1.01,0.207,4.36,6.17
Kepler-482,,4871,0.72,0.75,-0.539,4.6,6.03
Kepler-483,,6346,1.47,1.28,0.439,4.21,2.63
Kepler-484,,5668,0.87,0.96,-0.135,4.54,1.48
Kepler-485,,5958,1.09,1.07,0.079,4.39,3.72
Kepler-488,,5970,1.09,1.07,0.145,4.39,3.47
Kepler-489,,5014,0.76,0.82,-0.518,4.59,3.31
Kepler-490,,6045,1.12,1.08,0.365,4.37,3.47
Kepler-491,,5582,1.03,1.04,-0.057,4.42,4.47
Kepler-493,,6457,1.54,1.36,0.438,4.19,2
Kepler-494,,6007,1.26,1.1,0.271,4.28,4.79
Kepler-496,,5293,0.82,0.86,-0.416,4.55,4.57
Kepler-497,,5834,1.11,1.09,0.252,4.39,3.55
Kepler-498,,5744,0.96,0.98,0.172,4.47,3.89
Kepler-499,,5312,0.83,0.87,-0.279,4.55,4.57
Kepler-5,,6297,1.79,1.37,0.652,3.96,2.88
Kepler-500,,5813,1.03,1.02,0.116,4.42,4.37
Kepler-502,,6125,1.22,1.15,0.349,4.33,3.09
Kepler-504,,3519,0.33,0.33,-1.577,4.94,4.17
Kepler-505,,3931,0.53,0.55,-1.079,4.73,3.16
Kepler-506,,6236,1.19,1.19,0.288,4.36,1.74
Kepler-507,,6113,1.32,1.16,0.326,4.26,3.8
Kepler-508,,6025,1.25,1.16,0.289,4.3,3.55
Kepler-509,,6060,1.2,1.1,0.233,4.32,4.27
Kepler-510,,5746,1.41,0.91,0.332,4.09,10.47
Kepler-512,,5997,1.3,1.17,0.216,4.28,3.72
Kepler-513,,5849,1.06,1.02,0.079,4.39,5.5
Kepler-514,,6106,1.44,1.28,0.353,4.23,2.69
Kepler-515,,5293,0.83,0.9,-0.312,4.55,3.39
Kepler-516,,7099,2.02,1.62,0.798,4.04,1.32
Kepler-517,,5690,0.98,0.95,-0.019,4.43,6.31
Kepler-518,,5842,0.88,0.96,-0.04,4.53,1.35
Kepler-519,,5260,0.8,0.89,-0.335,4.58,1.91
Kepler-521,,6406,1.46,1.34,0.671,4.24,1.78
Kepler-522,,6392,1.98,1.54,0.655,4.04,1.7
Kepler-523,,5515,0.86,0.93,-0.28,4.54,2.45
Kepler-525,,5573,1.15,0.95,0.525,4.29,10.47
Kepler-526,,5894,1.14,1.15,0.351,4.38,2.14
Kepler-527,,6388,1.45,1.28,0.323,4.22,2.4
Kepler-528,,5807,1.06,1.01,0.158,4.39,5.5
Kepler-530,,5697,0.89,0.97,-0.132,4.53,1.78
Kepler-531,,4893,0.75,0.78,-0.552,4.58,7.76
Kepler-532,,5192,0.79,0.87,-0.458,4.58,2
Kepler-533,,4758,0.72,0.78,-0.62,4.61,3.24
Kepler-535,,6123,1.27,1.18,0.341,4.3,3.24
Kepler-536,,5524,0.89,0.92,-0.214,4.51,4.79
Kepler-537,,5763,0.99,1.07,-0.039,4.47,1.45
Kepler-538,,5547,0.87,0.89,-0.179,4.51,5.3
Kepler-540,,5946,1.08,1.02,0.207,4.38,4.9
Kepler-541,,6166,2.06,1.41,0.755,3.96,3.09
Kepler-542,,5526,0.9,0.93,-0.122,4.5,4.57
Kepler-543,,4671,0.67,0.7,-0.643,4.63,5.75
Kepler-544,,6206,1.22,1.16,0.529,4.33,2.63
Kepler-545,,5882,1.07,1.04,0.107,4.39,4.47
Kepler-546,,5967,1.15,1.11,0.271,4.36,3.31
Kepler-547,,4828,0.73,0.78,-0.555,4.61,2.88
Kepler-548,,5535,0.9,0.93,-0.201,4.5,4.37
Kepler-550,,5322,0.83,0.87,-0.384,4.55,4.68
Kepler-551,,4286,0.63,0.65,-0.895,4.66,3.8
Kepler-552,,5863,1.04,1.03,0.063,4.42,3.89
Kepler-554,,5447,0.92,0.93,-0.118,4.49,5.62
Kepler-555,,5894,1.04,1.03,0.264,4.42,3.89
Kepler-556,,5740,0.98,1,-0.048,4.46,4.17
Kepler-557,,6068,1.16,1.11,0.728,4.35,3.24
Kepler-558,,5242,0.81,0.85,-0.384,4.56,4.47
Kepler-559,,5630,0.95,0.96,-0.121,4.47,4.37
Kepler-560,,3556,0.33,0.34,-1.717,4.94,4.07
Kepler-562,,5575,0.9,0.93,0.016,4.5,4.57
Kepler-563,,5066,0.77,0.8,-0.444,4.58,5.37
Kepler-564,,5626,0.92,0.95,-0.064,4.49,4.27
Kepler-565,,5735,0.95,0.98,-0.055,4.47,4.07
Kepler-566,,5132,0.79,0.83,-0.524,4.57,4.57
Kepler-567,,5148,0.79,0.84,-0.409,4.57,4.68
Kepler-568,,3768,0.53,0.55,-1.33,4.73,5.89
Kepler-569,,5616,0.93,0.95,-0.107,4.48,4.9
Kepler-570,,5496,0.9,0.93,-0.296,4.5,5.01
Kepler-571,,5527,0.9,0.93,-0.223,4.51,4.68
Kepler-572,,5212,0.79,0.83,-0.434,4.57,4.68
Kepler-573,,5746,1.02,0.99,0.029,4.41,5.89
Kepler-574,,5612,0.91,0.95,-0.214,4.5,4.17
Kepler-575,,5710,0.95,0.97,-0.084,4.47,3.98
Kepler-576,,5672,0.97,0.99,-0.211,4.46,4.47
Kepler-577,,4984,0.73,0.78,-0.555,4.61,3.8
Kepler-578,,5334,0.83,0.87,-0.337,4.54,4.68
Kepler-579,,5636,0.96,0.99,-0.311,4.47,4.07
Kepler-580,,4298,0.64,0.67,-0.896,4.66,3.47
Kepler-581,,5772,1,1,-0.169,4.44,4.07
Kepler-582,,5564,0.91,0.93,-0.414,4.49,4.47
Kepler-583,,5523,0.91,0.94,-0.101,4.5,4.47
Kepler-584,,6195,1.24,1.17,0.52,4.31,2.88
Kepler-585,,5593,0.93,0.96,-0.163,4.49,3.63
Kepler-586,,5575,0.92,0.94,-0.141,4.5,4.17
Kepler-587,,5549,0.89,0.92,-0.238,4.51,4.79
Kepler-588,,5835,1,1.01,0.207,4.44,4.07
Kepler-590,,6000,1.15,1.1,0.477,4.35,3.55
Kepler-591,,5677,0.94,0.97,-0.078,4.48,4.17
Kepler-592,,5913,1.04,1.04,0.185,4.42,3.89
Kepler-593,,5967,1.1,1.08,0.079,4.39,3.63
Kepler-594,,5485,0.87,0.91,-0.193,4.52,4.27
Kepler-596,,6267,1.32,1.21,0.314,4.27,2.69
Kepler-597,,5683,0.95,0.97,-0.033,4.47,4.27
Kepler-599,,5127,0.79,0.83,-0.522,4.57,5.01
Kepler-6,,5647,1.39,1.21,0.189,4.24,1.3
Kepler-600,,5279,0.81,0.84,-0.339,4.56,4.57
Kepler-601,,5160,0.79,0.85,-0.428,4.57,4.07
Kepler-602,,6062,1.13,1.08,0.326,4.37,3.16
Kepler-604,,5890,1.03,1.02,0.092,4.42,3.72
Kepler-606,,6161,1.22,1.13,0.254,4.32,2.88
Kepler-608,,5820,1.01,1,0.041,4.43,3.8
Kepler-609,,5971,1.14,1.09,0.065,4.36,3.72
Kepler-61,K7 V,4017,0.62,0.64,-0.971,4.67,1
Kepler-611,,5761,1.01,1.01,0.383,4.43,4.47
Kepler-612,,5693,0.96,0.98,0.305,4.46,4.47
Kepler-613,,5723,0.96,0.98,-0.057,4.47,4.27
Kepler-614,,5268,0.81,0.85,-0.418,4.55,4.79
Kepler-615,,4655,0.69,0.73,-0.695,4.62,3.72
Kepler-617,M1 V,3712,0.48,0.51,-1.305,4.77,3.98
Kepler-618,,5860,1.08,1.05,0.173,4.39,4.27
Kepler-620,,6155,1.22,1.15,0.341,4.33,3.02
Kepler-621,,4521,0.68,0.72,-0.759,4.63,3.63
Kepler-622,,4201,0.61,0.64,-0.862,4.67,3.47
Kepler-623,,5443,0.86,0.9,-0.318,4.53,4.47
Kepler-624,,6117,1.18,1.1,0.291,4.33,3.72
Kepler-626,,5813,1.05,1.01,-0.042,4.4,5.37
Kepler-627,,6424,1.49,1.3,0.385,4.21,2.24
Kepler-628,,5721,1.28,1,0.604,4.22,8.71
Kepler-629,,5444,0.84,0.93,-0.283,4.55,1.91
Kepler-63,,5576,0.9,0.98,-0.157,4.52,0.21
Kepler-630,,5829,1.04,1.02,0.302,4.42,4.47
Kepler-631,,6185,1.33,1.24,0.389,4.28,2.51
Kepler-632,,5322,0.84,0.91,-0.292,4.55,3.02
Kepler-634,,6075,1.24,1.03,0.421,4.26,5.37
Kepler-635,,6174,1.51,1.33,0.735,4.2,2.34
Kepler-636,,5203,0.8,0.85,-0.374,4.56,5.01
Kepler-637,,6096,2.56,1.64,0.382,3.84,2.19
Kepler-638,,5382,0.93,0.88,0.532,4.43,11.75
Kepler-639,,5896,1.29,1.14,0.483,4.27,4.37
Kepler-640,,5653,0.94,1.01,-0.024,4.5,2.09
Kepler-641,,5713,1.13,1.02,0.39,4.33,7.08
Kepler-642,,6570,1.66,1.4,0.398,4.14,1.95
Kepler-643,,4908,2.52,1,0.478,3.64,12.02
Kepler-644,,6747,1.81,1.49,0.71,4.09,1.62
Kepler-645,,6170,1.21,1.13,0.451,4.33,2.95
Kepler-646,,5634,0.91,0.93,-0.259,4.49,4.57
Kepler-648,,5741,0.98,1.05,-0.053,4.48,1.82
Kepler-649,,5871,0.94,0.97,-0.044,4.48,2.95
Kepler-650,,5849,1.35,1.08,0.284,4.21,6.46
Kepler-651,,5522,0.87,0.92,-0.253,4.53,3.55
Kepler-652,,5490,0.88,0.97,-0.27,4.54,1.48
Kepler-654,,5865,1.11,1.04,0.462,4.36,5.37
Kepler-655,,6170,1.24,1.15,0.324,4.31,3.39
Kepler-656,,5281,0.82,0.86,-0.299,4.56,4.37
Kepler-657,,5808,1.01,1.01,0.279,4.44,4.17
Kepler-658,,4103,0.6,0.63,-0.899,4.68,3.09
Kepler-659,,4870,0.74,0.79,-0.526,4.6,3.24
Kepler-66,G0 V,5962,0.97,1.04,0.051,4.48,1
Kepler-660,,4779,0.71,0.75,-0.626,4.61,4.57
Kepler-661,,4483,0.67,0.7,-0.814,4.64,4.27
Kepler-662,,4897,0.74,0.79,-0.356,4.6,3.63
Kepler-663,,5264,0.82,0.86,-0.313,4.55,4.57
Kepler-664,,5754,1.02,1.01,-0.111,4.43,4.68
Kepler-665,,4913,0.74,0.79,-0.595,4.6,4.68
Kepler-666,,5887,1.05,1.03,0.182,4.41,3.8
Kepler-667,,5327,0.87,0.91,0.557,4.53,4.68
Kepler-668,,5352,0.82,0.87,-0.396,4.55,3.89
Kepler-669,,6038,1.2,1.15,0.358,4.34,3.16
Kepler-67,G9 V,5331,0.78,0.86,-0.376,4.59,1
Kepler-670,,5709,0.99,0.99,-0.1,4.44,4.79
Kepler-671,,5624,0.95,0.97,-0.081,4.47,4.47
Kepler-672,,5627,0.92,0.95,-0.112,4.5,4.07
Kepler-673,,5355,0.84,0.88,-0.344,4.54,4.47
Kepler-674,,4192,0.57,0.6,-0.907,4.69,3.31
Kepler-675,,4945,0.75,0.79,-0.507,4.6,4.68
Kepler-676,,3701,0.49,0.51,-1.295,4.77,4.27
Kepler-677,,5723,0.99,1,0.39,4.45,4.57
Kepler-678,,5520,0.91,0.94,0.449,4.5,4.47
Kepler-679,,5403,0.84,0.87,-0.348,4.54,4.47
Kepler-680,,5890,1.11,1.08,0.197,4.38,3.72
Kepler-681,,5021,0.76,0.8,-0.457,4.58,5.01
Kepler-682,,5559,0.89,0.92,0.48,4.51,3.98
Kepler-683,,5703,0.95,0.96,-0.041,4.47,4.37
Kepler-684,,5493,0.86,0.89,0.209,4.53,4.37
Kepler-685,,5963,1.16,1.11,-0.051,4.36,3.39
Kepler-686,,5649,0.92,0.94,0.108,4.49,4.47
Kepler-687,,4841,0.73,0.77,-0.567,4.6,5.5
Kepler-688,,5715,0.96,0.98,-0.024,4.47,4.27
Kepler-689,,5518,0.88,0.91,-0.153,4.51,4.57
Kepler-690,,5913,1.16,1.11,0.141,4.35,3.55
Kepler-691,,3715,0.5,0.53,-1.305,4.76,3.98
Kepler-692,,5440,0.86,0.9,-0.233,4.53,4.68
Kepler-693,,4881,0.72,0.76,-0.427,4.61,4.47
Kepler-694,,5700,0.95,0.97,-0.078,4.47,4.07
Kepler-695,,5181,0.8,0.84,-0.159,4.57,4.47
Kepler-696,,5903,1.08,1.06,0.151,4.39,3.98
Kepler-697,,5513,0.88,0.92,-0.025,4.52,4.37
Kepler-698,,5612,0.91,0.94,0.388,4.5,4.27
Kepler-7,,5933,1.97,1.36,0.696,3.98,2.9
Kepler-700,,5692,0.96,0.98,0.23,4.47,4.37
Kepler-701,,5343,0.84,0.88,-0.276,4.54,4.47
Kepler-702,,5419,0.86,0.9,-0.159,4.53,4.47
Kepler-703,,6185,1.27,1.18,0.067,4.29,2.69
Kepler-704,,5616,0.96,0.97,0.036,4.46,5.13
Kepler-705,,3722,0.51,0.53,-1.385,4.75,3.89
Kepler-706,,5394,0.84,0.87,-0.218,4.54,4.79
Kepler-707,,5099,0.76,0.8,-0.501,4.58,4.9
Kepler-708,,5692,0.96,0.97,0.037,4.47,4.37
Kepler-709,,5071,0.77,0.8,-0.481,4.58,4.9
Kepler-710,,5611,0.91,0.94,0.265,4.5,4.17
Kepler-711,,5222,0.8,0.84,-0.499,4.56,4.37
Kepler-713,,5785,0.99,0.98,0.085,4.44,3.8
Kepler-714,,5995,1.12,1.09,0.46,4.37,3.55
Kepler-715,,5871,1.04,1.04,0.165,4.42,3.98
Kepler-717,,5485,0.85,0.88,0.604,4.53,4.37
Kepler-718,,6191,1.3,1.18,0.134,4.28,2.57
Kepler-719,,5777,0.98,0.99,0.448,4.45,3.98
Kepler-720,,5618,0.92,0.95,0.032,4.49,3.63
Kepler-721,,5075,0.78,0.82,-0.362,4.58,4.9
Kepler-723,,5539,0.89,0.92,-0.172,4.51,4.57
Kepler-724,,5437,0.86,0.9,-0.223,4.53,4.37
Kepler-725,,5363,0.84,0.88,-0.313,4.54,4.37
Kepler-726,,5452,0.85,0.88,-0.319,4.53,4.47
Kepler-727,,5441,0.86,0.89,-0.317,4.53,4.79
Kepler-728,,5660,0.93,0.95,0.227,4.49,4.07
Kepler-729,,5633,0.91,0.94,0.261,4.5,4.27
Kepler-731,,5849,1.06,1.03,0.035,4.41,3.8
Kepler-733,,5418,0.86,0.9,-0.298,4.53,4.27
Kepler-734,,5326,0.78,0.85,0.374,4.59,2.34
Kepler-735,,5107,0.8,0.85,-0.517,4.57,4.37
Kepler-736,,5217,0.81,0.86,-0.35,4.56,4.27
Kepler-737,,3813,0.48,0.51,-1.301,4.77,3.89
Kepler-738,,5327,0.82,0.86,-0.213,4.55,4.57
Kepler-739,,5601,0.9,0.93,0.018,4.51,4.27
Kepler-74,F8 V,6000,1.12,1.18,0.332,4.44,0.8
Kepler-740,,5438,0.87,0.91,-0.123,4.52,4.79
Kepler-741,,6129,1.24,1.16,0.332,4.31,3.16
Kepler-742,,4642,0.71,0.76,-0.692,4.62,2.57
Kepler-743,,5486,0.85,0.94,-0.176,4.55,1.86
Kepler-744,,5594,0.93,0.94,-0.222,4.48,5.13
Kepler-745,,5849,1.04,1.04,0.376,4.42,4.07
Kepler-746,,5418,0.93,0.91,-0.172,4.46,8.71
Kepler-747,,5096,0.78,0.82,-0.432,4.58,4.79
Kepler-748,,5934,1.1,1.07,0.36,4.38,3.72
Kepler-749,,5009,0.75,0.79,-0.494,4.59,4.57
Kepler-75,K0 V,5200,0.89,0.91,-0.215,4.5,6.2
Kepler-751,,5387,0.84,0.87,-0.264,4.54,4.47
Kepler-752,,5373,0.83,0.87,-0.125,4.54,4.07
Kepler-753,,4346,0.65,0.68,-0.865,4.65,3.63
Kepler-754,,5935,1.08,1.06,0.416,4.39,3.8
Kepler-756,,5282,0.79,0.82,-0.358,4.57,4.47
Kepler-757,,6014,1.13,1.08,0.16,4.37,3.31
Kepler-759,,5860,1.04,1.04,0.061,4.42,3.89
Kepler-76,F,6409,1.32,1.2,0.451,4.2,0.62
Kepler-761,,5706,0.93,0.95,-0.117,4.48,4.07
Kepler-762,,5944,1.08,1.06,0.318,4.4,3.8
Kepler-763,,5166,0.8,0.84,-0.334,4.57,4.79
Kepler-764,,5557,0.89,0.92,-0.136,4.51,4.17
Kepler-765,,5901,1.06,1.05,0.146,4.41,3.72
Kepler-766,,5992,1.15,1.1,0.451,4.36,3.63
Kepler-767,,5694,0.94,0.96,0.476,4.48,4.07
Kepler-768,,5108,0.78,0.82,-0.466,4.58,4.57
Kepler-77,G5 V,5520,0.99,0.95,-0.046,4.42,7.5
Kepler-771,,5906,1.05,1.03,0.355,4.42,3.72
Kepler-772,,5714,1.11,0.98,0.475,4.33,8.13
Kepler-773,,5850,1.01,1.04,0.095,4.45,2.82
Kepler-774,,6403,2.42,1.57,0.753,3.87,2.14
Kepler-775,,5468,0.84,0.92,-0.267,4.56,1.86
Kepler-776,,5071,0.78,0.83,-0.437,4.58,4.37
Kepler-777,,4043,0.56,0.58,-0.968,4.71,3.16
Kepler-778,,5102,0.77,0.81,-0.413,4.58,5.25
Kepler-779,,3804,0.44,0.46,-1.234,4.81,3.89
Kepler-78,G,5089,0.75,0.84,-0.498,4.6,0.625
Kepler-780,,5769,1.02,1.01,0.017,4.42,4.9
Kepler-781,,5162,0.78,0.81,-0.384,4.58,4.9
Kepler-782,,5867,1.01,0.98,0.11,4.42,5.25
Kepler-784,,5674,1.32,1,0.857,4.19,9.12
Kepler-785,,4739,0.71,0.77,-0.683,4.62,2.82
Kepler-786,,4838,0.74,0.81,-0.583,4.61,2.51
Kepler-787,,4248,0.62,0.65,-0.895,4.67,3.39
Kepler-788,,6159,1.23,1.16,0.336,4.32,3.02
Kepler-789,,5870,1.02,1.01,0.496,4.42,3.72
Kepler-790,,5208,0.8,0.84,-0.424,4.56,4.9
Kepler-791,,6383,1.47,1.3,0.403,4.21,2.24
Kepler-792,,5971,1.12,1.09,0.274,4.38,3.39
Kepler-793,,5745,0.97,0.98,0.11,4.46,4.27
Kepler-794,,5839,1.38,1.19,0.506,4.23,4.07
Kepler-795,,5631,0.96,0.94,-0.022,4.45,6.46
Kepler-796,,5475,1.09,0.93,0.572,4.33,11.75
Kepler-797,,5680,0.95,0.96,0.47,4.47,3.89
Kepler-798,,6224,1.29,1.19,0.222,4.29,2.82
Kepler-8,,6213,1.49,1.21,0.605,4.17,3.47
Kepler-800,,5315,0.82,0.85,-0.358,4.55,4.68
Kepler-801,,4435,0.63,0.67,-0.798,4.66,3.55
Kepler-802,,5507,0.9,0.93,-0.226,4.5,4.68
Kepler-803,,5919,1.12,1.05,0.241,4.36,4.9
Kepler-805,,6112,1.65,1.19,0.541,4.08,4.27
Kepler-806,,5770,1.16,0.99,0.407,4.3,7.76
Kepler-807,,5965,1.06,1.04,0.228,4.41,3.72
Kepler-808,,4653,0.71,0.76,-0.684,4.62,1.95
Kepler-809,,5734,0.98,0.99,0.001,4.45,4.37
Kepler-810,,5803,1.04,1.03,-0.032,4.42,4.17
Kepler-811,,5747,1.24,1.01,0.323,4.25,7.94
Kepler-812,,6761,1.71,1.45,0.752,4.13,1.66
Kepler-813,,5743,0.93,0.95,-0.071,4.48,3.98
Kepler-814,,6162,1.22,1.15,0.669,4.33,3.02
Kepler-815,,5028,3.42,1.25,0.857,3.46,4.9
Kepler-816,,5286,0.85,0.9,-0.374,4.54,4.17
Kepler-817,,5861,1.03,1.03,0.086,4.42,3.55
Kepler-818,,5638,0.92,0.94,-0.124,4.49,3.98
Kepler-819,,5279,0.81,0.86,-0.398,4.55,4.47
Kepler-820,,6260,1.36,1.23,0.689,4.25,2.63
Kepler-821,,5191,0.8,0.84,-0.364,4.56,4.79
Kepler-822,,5928,1.08,1.06,-0.005,4.4,3.55
Kepler-823,,5643,0.96,0.98,0.335,4.47,4.47
Kepler-824,,6035,1.22,1.15,0.122,4.32,3.31
Kepler-826,,6079,1.15,1.05,0.349,4.34,4.37
Kepler-827,,5602,0.91,0.93,0.232,4.5,4.37
Kepler-828,,5039,0.77,0.81,-0.543,4.58,4.57
Kepler-829,,5698,0.97,0.98,0.04,4.46,4.68
Kepler-830,,6037,1.11,1.07,0.169,4.38,3.47
Kepler-831,,5732,0.97,0.99,0.012,4.46,4.17
Kepler-832,,5596,0.9,0.92,0.07,4.5,4.37
Kepler-833,,4339,0.62,0.64,-0.793,4.67,3.72
Kepler-834,,4554,0.66,0.7,-0.745,4.64,2.69
Kepler-835,,5954,1.11,1.08,0.33,4.38,3.63
Kepler-836,,5895,1.04,1.03,0.049,4.41,4.27
Kepler-837,,5403,0.81,0.85,-0.271,4.56,3.98
Kepler-838,,5770,0.96,0.98,-0.099,4.46,4.17
Kepler-839,,6058,1.31,1.22,0.437,4.29,2.82
Kepler-841,,5324,0.81,0.85,-0.362,4.56,4.47
Kepler-842,,4848,0.73,0.78,-0.612,4.6,4.37
Kepler-843,,5830,1.03,1.02,-0.047,4.42,4.17
Kepler-844,,4128,0.57,0.59,-0.921,4.7,3.8
Kepler-845,,4913,0.75,0.79,-0.605,4.59,4.79
Kepler-846,,5579,0.91,0.94,-0.217,4.5,4.37
Kepler-847,,4940,0.77,0.83,-0.507,4.58,3.89
Kepler-848,,5695,1.2,1.01,0.594,4.28,8.32
Kepler-849,,6059,1.64,1.23,0.605,4.1,3.98
Kepler-850,,5932,1.09,1.06,0.173,4.39,3.89
Kepler-851,,5455,0.85,0.89,-0.273,4.53,4.47
Kepler-852,,6100,1.16,1.19,0.827,4.38,1.48
Kepler-853,,6350,1.55,1.3,0.51,4.17,2.69
Kepler-855,,5835,1.03,1.03,0.333,4.42,4.17
Kepler-856,,5535,0.93,0.96,-0.022,4.49,4.27
Kepler-857,,5773,0.99,0.99,-0.071,4.45,4.27
Kepler-858,,5653,0.91,0.96,-0.113,4.5,3.39
Kepler-859,,5020,0.77,0.81,-0.556,4.59,4.57
Kepler-860,,5836,1.06,1.04,-0.157,4.4,4.27
Kepler-861,,5047,0.78,0.82,-0.427,4.58,4.47
Kepler-862,,5333,0.84,0.88,-0.103,4.54,4.79
Kepler-863,,5678,0.95,0.96,0.215,4.46,3.8
Kepler-864,,5754,1,1,0.208,4.44,4.68
Kepler-865,,5570,0.92,0.93,-0.298,4.49,4.27
Kepler-866,,4751,0.71,0.75,-0.705,4.62,4.27
Kepler-867,,5541,0.91,0.92,0.117,4.49,5.89
Kepler-868,,5614,0.89,0.93,0.068,4.51,3.89
Kepler-869,,5664,0.95,0.97,-0.11,4.47,4.79
Kepler-870,,5857,1.02,1.01,0.043,4.43,3.8
Kepler-871,,5993,1.14,1.11,0.309,4.37,3.47
Kepler-872,,5902,1.08,1.05,-0.146,4.4,4.17
Kepler-873,,6163,1.27,1.18,0.134,4.29,2.95
Kepler-874,,6020,1.13,1.09,0.138,4.37,3.31
Kepler-875,,5958,1.11,1.06,0.135,4.38,3.39
Kepler-876,,5060,0.77,0.81,-0.338,4.58,5.25
Kepler-877,,5261,0.81,0.85,-0.343,4.56,4.57
Kepler-878,,5044,0.77,0.81,-0.174,4.58,4.57
Kepler-879,,5792,1.02,1.02,0.033,4.42,4.27
Kepler-880,,6761,1.74,1.46,0.666,4.12,1.66
Kepler-881,,5961,1.09,1.06,0.12,4.39,3.8
Kepler-882,,5476,0.87,0.9,-0.273,4.52,4.57
Kepler-883,,6116,1.09,1.06,0.296,4.4,3.02
Kepler-884,,5715,0.94,1,-0.313,4.49,2.45
Kepler-885,,6187,1.35,1.21,0.417,4.26,3.16
Kepler-886,,6098,1.16,1.1,0.042,4.35,3.39
Kepler-888,,5875,0.9,0.97,-0.043,4.52,1.48
Kepler-889,,5961,1.25,1.14,0.383,4.3,3.98
Kepler-890,,5954,1.13,1.09,0.327,4.37,3.63
Kepler-891,,5887,1.07,1.06,0.588,4.41,3.55
Kepler-892,,4747,0.72,0.75,-0.735,4.61,5.01
Kepler-893,,5820,0.99,1,0.06,4.45,3.8
Kepler-894,,5603,0.85,0.87,-0.123,4.53,4.27
Kepler-895,,4315,0.61,0.65,-0.854,4.67,2.63
Kepler-896,,5262,0.81,0.84,0.481,4.56,5.01
Kepler-897,,5839,1.04,1.03,0.288,4.41,4.37
Kepler-898,,4223,0.62,0.65,-0.875,4.66,3.98
Kepler-899,,5595,0.91,0.93,0.048,4.49,4.07
Kepler-900,,4836,0.73,0.78,-0.608,4.6,4.57
Kepler-901,,4184,0.57,0.59,-0.984,4.7,3.8
Kepler-902,,5647,0.93,0.95,0.108,4.49,4.37
Kepler-904,,6160,1.25,1.16,0.154,4.31,3.02
Kepler-905,,5461,0.86,0.95,-0.215,4.55,1.66
Kepler-906,,6035,1.02,1.06,0.096,4.45,1.86
Kepler-907,,6106,1.38,1.08,0.378,4.19,5.37
Kepler-908,,5973,1.12,1.11,0.264,4.38,3.02
Kepler-909,,6154,1.23,1.17,0.273,4.33,2.88
Kepler-91,K3,4550,6.3,1.31,1.225,2.95,4.47
Kepler-910,,6230,1.5,1.26,0.494,4.19,3.39
Kepler-911,,6112,1.99,1.34,0.707,3.97,3.55
Kepler-912,,5998,1.11,1.07,0.552,4.37,3.16
Kepler-914,,5877,1.15,1.1,0.245,4.36,3.98
Kepler-915,,6173,1.38,1.21,0.506,4.24,3.39
Kepler-916,,5248,0.81,0.85,-0.278,4.56,4.79
Kepler-917,,5418,0.76,0.8,0.764,4.58,4.17
